;;;;*;;*;*;;;;;;;x;;;;
modern_command_principle;Trained Leadership;;;;;;;;;;;;;x;;;;
modern_rifles;Modern Rifles;;;;;;;;;;;;;x;;;;
modern_fortifications;Starforts;;;;;;;;;;;;;x;;;;
modern_land_organisation;Reorganized Army;;;;;;;;;;;;;x;;;;
modern_guns;Modern Guns;;;;;;;;;;;;;x;;;;
traditional_navy;Traditional Navy;;;;;;;;;;;;;x;;;;
modern_naval_thought;Naval Schools;;;;;;;;;;;;;x;;;;
modern_ship_designs;Modern Ships;;;;;;;;;;;;;x;;;;
modern_export;Merchant Fleet;;;;;;;;;;;;;x;;;;
modern_naval_office;Naval Hierachy;;;;;;;;;;;;;x;;;;
modern_trade;Private Shipping;;;;;;;;;;;;;x;;;;
modern_machines;Modern Machines;;;;;;;;;;;;;x;;;;
modern_chemistry;Chemistry;;;;;;;;;;;;;x;;;;
modern_banks;Institutionalize Banking;;;;;;;;;;;;;x;;;;
modern_railroad;Import Railways;;;;;;;;;;;;;x;;;;
modern_administration;A new Administration;;;;;;;;;;;;;x;;;;
modern_education;Public Schools;;;;;;;;;;;;;x;;;;
modern_loan;Create National Bank;;;;;;;;;;;;;x;;;;
modern_theory;New Economic Theory;;;;;;;;;;;;;x;;;;
modern_thought;Human Rights;;;;;;;;;;;;;x;;;;
